rank,low_opening,mid_opening,high_opening,selected_min_distance,low_estimated_mass,mid_estimated_mass,high_estimated_mass,low_role_score,mid_role_score,high_role_score,spacing_score,balance_score,distance_bonus,total_score
110,24,39,50,1,2716.1728166774906,4333.538537024931,5541.412730302787,0.6271236605727392,0.8797228141884053,0.38916986381603175,0.8666666666666667,0.8461538461538461,0.03333333333333333,2.000195825756663
111,20,42,49,1,2295.884622300161,4664.769927837539,5432.320230462541,0.8286447201711097,0.7076551796785397,0.3659096107974703,0.9666666666666667,0.48275862068965514,0.03333333333333333,1.999853188808039
112,20,39,42,1,2295.884622300161,4333.538537024931,4664.769927837539,0.8286447201711097,0.8797228141884053,0.21943946892700547,0.7333333333333333,0.2727272727272727,0.03333333333333333,1.9983827608622777
113,23,38,48,2,2611.1007680831576,4223.094015055,5323.227730622294,0.7160699783280289,0.842161311176711,0.33917091854449977,0.8333333333333334,0.8,0.06666666666666667,1.9980688747159063
114,23,38,48,1,2611.1007680831576,4223.094015055,5323.227730622294,0.7160699783280289,0.842161311176711,0.33917091854449977,0.8333333333333334,0.8,0.03333333333333333,1.9970688747159062
115,21,39,43,1,2400.9566708944935,4333.538537024931,4775.163362258878,0.8039626138386076,0.8797228141884053,0.2390227529225463,0.7333333333333333,0.36363636363636365,0.03333333333333333,1.9969203021616804
116,21,37,47,1,2400.9566708944935,4112.649493085068,5214.135230782047,0.8039626138386076,0.7745998081650158,0.31692522730577444,0.8666666666666667,0.7692307692307692,0.03333333333333333,1.9965902134119617
117,21,40,47,1,2400.9566708944935,4443.983058994864,5214.135230782047,0.8039626138386076,0.7827156827998993,0.31692522730577444,0.8666666666666667,0.5384615384615384,0.03333333333333333,1.9954753188160759
118,22,37,48,2,2506.028719488826,4112.649493085068,5323.227730622294,0.775016296083318,0.7745998081650158,0.33917091854449977,0.8666666666666667,0.8461538461538461,0.06666666666666667,1.9939665099723207
119,22,37,48,1,2506.028719488826,4112.649493085068,5323.227730622294,0.775016296083318,0.7745998081650158,0.33917091854449977,0.8666666666666667,0.8461538461538461,0.03333333333333333,1.9929665099723206
120,22,40,48,2,2506.028719488826,4443.983058994864,5323.227730622294,0.775016296083318,0.7827156827998993,0.33917091854449977,0.8666666666666667,0.6153846153846154,0.06666666666666667,1.992851615376435
121,23,37,50,2,2611.1007680831576,4112.649493085068,5541.412730302787,0.7160699783280289,0.7745998081650158,0.38916986381603175,0.9,0.962962962962963,0.06666666666666667,1.992358168827595
122,21,39,44,1,2400.9566708944935,4333.538537024931,4885.556796680216,0.8039626138386076,0.8797228141884053,0.22860603691808704,0.7666666666666667,0.4347826086956522,0.03333333333333333,1.992016102626259
123,22,40,48,1,2506.028719488826,4443.983058994864,5323.227730622294,0.775016296083318,0.7827156827998993,0.33917091854449977,0.8666666666666667,0.6153846153846154,0.03333333333333333,1.991851615376435
124,23,40,50,2,2611.1007680831576,4443.983058994864,5541.412730302787,0.7160699783280289,0.7827156827998993,0.38916986381603175,0.9,0.7407407407407407,0.06666666666666667,1.9915851545735896
125,23,37,50,1,2611.1007680831576,4112.649493085068,5541.412730302787,0.7160699783280289,0.7745998081650158,0.38916986381603175,0.9,0.962962962962963,0.03333333333333333,1.991358168827595
126,23,40,50,1,2611.1007680831576,4443.983058994864,5541.412730302787,0.7160699783280289,0.7827156827998993,0.38916986381603175,0.9,0.7407407407407407,0.03333333333333333,1.9905851545735895
127,20,38,43,2,2295.884622300161,4223.094015055,4775.163362258878,0.8286447201711097,0.842161311176711,0.2390227529225463,0.7666666666666667,0.4347826086956522,0.06666666666666667,1.9905534219515262
128,20,38,43,1,2295.884622300161,4223.094015055,4775.163362258878,0.8286447201711097,0.842161311176711,0.2390227529225463,0.7666666666666667,0.4347826086956522,0.03333333333333333,1.989553421951526
129,21,36,50,1,2400.9566708944935,4002.2049711151362,5541.412730302787,0.8039626138386076,0.6770383051533214,0.38916986381603175,0.9666666666666667,0.9655172413793104,0.03333333333333333,1.9871248057964663
130,21,39,45,1,2400.9566708944935,4333.538537024931,4995.950231101554,0.8039626138386076,0.8797228141884053,0.21818932091362778,0.8,0.5,0.03333333333333333,1.9868747489406406
131,20,36,49,1,2295.884622300161,4002.2049711151362,5432.320230462541,0.8286447201711097,0.6770383051533214,0.3659096107974703,0.9666666666666667,0.896551724137931,0.03333333333333333,1.9857880384207518
